Region,Destination_Name,Destination_Type,Total_Days,Total_Persons,Budget_Per_Person
East,Kolkata,Hill Station,3,5,52952
North,Kullu,Wildlife,14,11,51686
West,Ahmedabad,Trekking,9,7,32458
Central,Kanha National Park,Trekking,13,2,9242
South,Goa,Urban/City,3,3,35495
West,Mount Abu,Hill Station,8,3,59612
Northeast,Shillong Peak,Historical,4,6,17577
Central,Gwalior,Wildlife,8,4,4090
South,Kodaikanal,Wildlife,11,2,57055
Central,Bhopal,Desert,6,3,24008
East,Darjeeling,Desert,13,5,44713
Central,Bhopal,Beach,15,2,27960
North,Rishikesh,Wildlife,2,8,48331
South,Kodaikanal,Adventure,6,1,32440
North,Leh,Hill Station,6,11,36533
Northeast,Aizawl,Hill Station,10,11,52809
North,Nainital,Hidden Gem,2,10,27787
South,Goa,Desert,9,8,14403
North,Shimla,Beach,2,4,57852
South,Munnar,Adventure,2,2,23801
South,Mysore,Beach,9,8,49058
East,Gangtok,Urban/City,5,3,8556
West,Somnath,Hill Station,13,12,55626
North,Manali,Trekking,4,8,39583
Northeast,Tawang,Trekking,5,5,5005
East,Darjeeling,Urban/City,13,12,52243
North,Agra,Historical,2,5,26830
East,Bodh Gaya,Historical,8,9,9959
Northeast,Ziro Valley,Wildlife,5,11,39656
North,Dalhousie,Trekking,5,6,14831
East,Guwahati,Religious,6,7,16352
Central,Sanchi,Hidden Gem,8,3,48304
North,Varanasi,Wildlife,13,8,51008
North,Leh,Adventure,5,5,51964
North,Jaipur,Trekking,10,10,52020
South,Pondicherry,Desert,10,6,15046
Northeast,Tawang,Hidden Gem,8,6,50049
East,Guwahati,Wildlife,2,10,52234
North,Dalhousie,Trekking,2,1,31382
West,Rann of Kutch,Urban/City,9,10,16684
South,Pondicherry,Religious,7,11,11156
Northeast,Cherrapunji,Adventure,6,6,53949
North,Rishikesh,Beach,7,2,5582
Central,Indore,Hill Station,2,3,54119
Central,Pachmarhi,Beach,5,4,44291
South,Kodaikanal,Adventure,6,4,50493
North,Dalhousie,Hill Station,13,7,48489
North,Manali,Trekking,8,4,28814
Northeast,Dzukou Valley,Beach,13,3,35499
East,Shillong,Hill Station,9,4,57442
Central,Kanha National Park,Hidden Gem,14,6,34202
Northeast,Kaziranga,Hill Station,11,9,11374
West,Somnath,Wildlife,9,6,10742
South,Kodaikanal,Historical,12,1,47253
Central,Bhopal,Hidden Gem,5,9,45179
East,Guwahati,Religious,2,10,27064
West,Somnath,Historical,13,8,10344
South,Coorg,Religious,10,8,23495
West,Somnath,Religious,15,4,50107
East,Bodh Gaya,Hidden Gem,14,2,56790
South,Coorg,Hidden Gem,13,10,16751
Northeast,Imphal,Trekking,12,12,38889
Northeast,Shillong Peak,Hill Station,11,5,35632
South,Kodaikanal,Urban/City,11,12,31995
North,Shimla,Religious,6,2,25437
East,Gangtok,Urban/City,3,5,10573
West,Mount Abu,Beach,2,6,16515
North,Agra,Adventure,8,1,34180
Northeast,Aizawl,Urban/City,8,8,42161
East,Bodh Gaya,Hidden Gem,6,7,53739
North,Dalhousie,Religious,12,10,35063
North,Agra,Trekking,13,1,34186
North,Jaipur,Religious,7,8,5823
East,Shillong,Urban/City,14,11,53785
Central,Indore,Hidden Gem,8,6,41462
South,Mysore,Hill Station,10,12,48009
North,Jaipur,Wildlife,10,5,58098
North,Varanasi,Hill Station,15,8,11304
Northeast,Aizawl,Hill Station,15,8,45463
South,Mysore,Adventure,8,6,59785
East,Gangtok,Trekking,10,7,54260
Northeast,Imphal,Wildlife,7,9,21966
North,Shimla,Historical,8,3,57461
Northeast,Dzukou Valley,Hill Station,12,7,56378
South,Pondicherry,Trekking,12,11,4402
Northeast,Shillong Peak,Adventure,2,8,28924
Northeast,Aizawl,Urban/City,15,10,58798
South,Hampi,Beach,10,11,19153
South,Kodaikanal,Historical,8,11,51378
East,Shillong,Historical,12,4,14955
Central,Kanha National Park,Urban/City,14,7,38176
West,Jaisalmer,Urban/City,15,1,19061
North,Shimla,Religious,14,3,42426
Northeast,Tawang,Hidden Gem,13,6,22232
Central,Indore,Wildlife,15,6,59262
West,Ahmedabad,Hidden Gem,2,9,41426
North,Nainital,Urban/City,9,9,5699
Central,Bandhavgarh,Wildlife,4,2,6801
Central,Pachmarhi,Historical,3,1,41419
West,Ahmedabad,Religious,2,7,33031
Northeast,Aizawl,Historical,10,3,36534
East,Gangtok,Urban/City,15,7,18554
South,Kochi,Adventure,14,5,38862
Northeast,Ziro Valley,Adventure,2,7,13530
North,Kullu,Historical,14,1,39598
East,Sundarbans,Beach,5,6,24467
East,Shillong,Hidden Gem,14,9,26692
West,Udaipur,Beach,14,3,45469
South,Coorg,Urban/City,15,12,13934
Northeast,Shillong Peak,Adventure,4,3,25009
South,Coorg,Hidden Gem,8,8,25490
Northeast,Cherrapunji,Historical,6,1,47733
Northeast,Kaziranga,Hill Station,7,11,36172
East,Konark,Hill Station,4,1,14252
East,Sundarbans,Religious,6,4,17257
Central,Bhopal,Urban/City,4,12,26847
East,Gangtok,Adventure,5,1,32167
East,Konark,Urban/City,6,2,48876
South,Kodaikanal,Religious,11,3,51250
West,Ahmedabad,Hidden Gem,5,1,37855
Central,Sanchi,Hill Station,12,5,3324
Northeast,Cherrapunji,Trekking,12,1,19479
South,Kochi,Adventure,9,9,49451
North,Kullu,Historical,7,10,48154
North,Manali,Wildlife,6,10,28772
Northeast,Ziro Valley,Hidden Gem,7,8,46812
North,Leh,Hill Station,15,6,38530
North,Rishikesh,Desert,14,11,25615
Central,Kanha National Park,Urban/City,5,12,38681
East,Kolkata,Religious,10,7,47087
West,Jaisalmer,Trekking,5,9,11553
Northeast,Shillong Peak,Trekking,9,11,43608
North,Varanasi,Hidden Gem,9,6,38097
East,Sundarbans,Urban/City,14,10,9358
East,Konark,Beach,14,3,5558
Central,Indore,Hill Station,12,4,10366
East,Puri,Trekking,6,12,16629
South,Kochi,Urban/City,5,6,25450
Central,Gwalior,Wildlife,5,5,50182
North,Dalhousie,Urban/City,12,4,40636
Central,Bandhavgarh,Religious,6,9,54787
East,Guwahati,Hill Station,9,3,16435
South,Munnar,Trekking,3,12,34028
West,Gir National Park,Adventure,14,8,4855
Northeast,Aizawl,Hill Station,11,1,9674
East,Gangtok,Religious,15,1,11594
East,Puri,Adventure,8,6,19657
North,Jaipur,Religious,10,11,21933
North,Nainital,Desert,4,10,12171
North,Agra,Religious,6,10,33055
Central,Indore,Urban/City,3,3,28690
South,Alleppey,Hidden Gem,11,10,14068
West,Rann of Kutch,Historical,11,11,49573
Central,Khajuraho,Trekking,12,6,8620
West,Udaipur,Historical,11,3,18362
North,Shimla,Historical,5,12,27711
Northeast,Aizawl,Urban/City,3,8,30608
East,Bodh Gaya,Adventure,8,10,45211
Northeast,Majuli,Hidden Gem,7,1,5530
Central,Gwalior,Religious,13,6,3231
South,Mysore,Trekking,5,6,5239
North,Manali,Trekking,10,10,4698
Northeast,Imphal,Hill Station,3,12,52817
South,Mysore,Hill Station,13,11,42798
Central,Bhopal,Desert,3,2,30485
West,Mount Abu,Religious,14,9,6779
Northeast,Kaziranga,Adventure,12,10,24358
Central,Gwalior,Beach,9,7,32006
East,Konark,Adventure,9,3,30223
West,Jaisalmer,Adventure,8,3,25526
North,Rishikesh,Urban/City,6,6,4611
West,Mumbai,Historical,8,7,32230
East,Guwahati,Historical,8,2,36765
South,Kodaikanal,Hill Station,7,2,47612
Central,Pachmarhi,Religious,2,1,8243
East,Puri,Hidden Gem,11,12,46662
North,Dalhousie,Adventure,3,7,43430
West,Somnath,Hidden Gem,10,7,41905
East,Darjeeling,Historical,13,5,30502
South,Coorg,Wildlife,8,1,24186
South,Kodaikanal,Hidden Gem,4,6,52201
West,Mount Abu,Hidden Gem,4,11,14522
West,Somnath,Trekking,14,7,50301
West,Gir National Park,Adventure,5,10,43249
North,Kullu,Wildlife,9,2,45651
South,Coorg,Adventure,5,1,23424
North,Leh,Historical,5,3,14198
North,Nainital,Urban/City,8,9,57511
North,Rishikesh,Hill Station,5,7,10035
South,Coorg,Adventure,9,2,15132
South,Munnar,Wildlife,10,9,27383
South,Coorg,Urban/City,14,12,12405
North,Dalhousie,Religious,12,8,5027
West,Somnath,Desert,9,1,40228
Central,Bhopal,Hidden Gem,7,5,54433
North,Shimla,Beach,3,2,32330
Northeast,Majuli,Religious,10,3,52965
East,Gangtok,Trekking,6,8,27751
North,Manali,Adventure,2,5,42050
Northeast,Dzukou Valley,Hill Station,8,4,48665
East,Sundarbans,Religious,10,6,32425
West,Mumbai,Hill Station,10,6,51027
Central,Bandhavgarh,Wildlife,9,5,29642
South,Munnar,Beach,8,9,31409
North,Manali,Beach,6,5,5472
North,Varanasi,Wildlife,2,5,56101
South,Mysore,Trekking,15,11,29267
South,Ooty,Hidden Gem,8,11,33304
North,Kullu,Beach,10,3,17376
Central,Bandhavgarh,Desert,14,4,29852
Central,Gwalior,Adventure,15,5,9040
East,Konark,Beach,3,4,39733
South,Mysore,Religious,11,4,58171
Central,Indore,Hill Station,11,3,32472
South,Goa,Urban/City,13,5,52439
North,Dalhousie,Desert,8,3,19295
Central,Sanchi,Historical,15,2,54335
East,Konark,Hidden Gem,7,9,42566
West,Udaipur,Hill Station,4,2,24779
West,Udaipur,Desert,7,2,55724
South,Kochi,Religious,5,2,56815
South,Goa,Trekking,15,11,33626
Central,Bandhavgarh,Beach,6,2,12621
North,Agra,Religious,13,2,33085
East,Puri,Hidden Gem,3,1,38131
South,Mysore,Hidden Gem,15,3,37129
Northeast,Imphal,Hidden Gem,5,8,41202
Northeast,Dzukou Valley,Wildlife,3,6,31236
Northeast,Majuli,Hill Station,5,6,41295
East,Shillong,Beach,8,6,42183
North,Nainital,Adventure,4,3,19027
West,Ahmedabad,Beach,4,12,6198
South,Ooty,Wildlife,10,11,49165
East,Konark,Historical,6,8,20570
Central,Pachmarhi,Urban/City,9,12,7556
Northeast,Majuli,Historical,8,1,31390
Central,Sanchi,Hill Station,15,7,28921
Central,Kanha National Park,Urban/City,10,1,13201
Central,Bhopal,Hill Station,13,5,16680
South,Kodaikanal,Religious,12,6,59760
Central,Khajuraho,Beach,4,11,58448
East,Gangtok,Urban/City,15,8,22443
North,Manali,Wildlife,4,7,5095
West,Gir National Park,Wildlife,2,5,14028
West,Udaipur,Wildlife,15,12,12354
Central,Pachmarhi,Wildlife,8,2,19591
Northeast,Shillong Peak,Trekking,11,2,58261
Northeast,Cherrapunji,Wildlife,13,7,7520
South,Mysore,Urban/City,4,7,13199
South,Munnar,Trekking,13,5,10844
South,Ooty,Beach,6,10,25028
South,Ooty,Desert,7,1,16235
Northeast,Cherrapunji,Urban/City,7,4,16678
East,Guwahati,Urban/City,11,7,51077
East,Bodh Gaya,Hill Station,11,1,43555
East,Darjeeling,Wildlife,8,1,5017
North,Agra,Historical,14,5,19881
Central,Indore,Trekking,10,9,49697
South,Kochi,Desert,6,2,50700
East,Kolkata,Trekking,3,6,47341
East,Sundarbans,Adventure,12,9,42552
North,Agra,Desert,15,9,42822
South,Goa,Adventure,5,5,56128
North,Nainital,Hidden Gem,7,4,49468
Northeast,Majuli,Hidden Gem,10,4,4569
South,Hampi,Adventure,10,10,58505
East,Darjeeling,Urban/City,5,2,3879
East,Darjeeling,Religious,5,8,19895
West,Somnath,Wildlife,14,1,3268
South,Kodaikanal,Hill Station,7,10,43733
Central,Gwalior,Hill Station,3,2,31406
Northeast,Aizawl,Urban/City,3,10,4278
West,Jaisalmer,Beach,9,3,47167
West,Ahmedabad,Urban/City,3,3,35483
Central,Bhopal,Wildlife,11,1,58640
Central,Khajuraho,Hill Station,14,4,58557
North,Leh,Urban/City,3,12,39643
Northeast,Aizawl,Religious,12,9,45769
Northeast,Majuli,Religious,2,9,29481
North,Varanasi,Hill Station,11,11,43611
Central,Indore,Religious,13,8,10341
South,Mysore,Adventure,3,9,59310
South,Goa,Adventure,9,9,33654
North,Manali,Adventure,12,8,7021
West,Mount Abu,Hidden Gem,5,3,20768
Central,Sanchi,Historical,7,8,54760
East,Sundarbans,Adventure,13,4,42504
East,Darjeeling,Urban/City,6,9,36950
West,Ahmedabad,Hill Station,3,12,10088
East,Darjeeling,Beach,3,3,48751
North,Varanasi,Trekking,11,5,3963
South,Coorg,Historical,10,3,32463
North,Leh,Historical,8,9,25028
Northeast,Dzukou Valley,Trekking,13,10,5188
East,Bodh Gaya,Beach,8,5,42828
North,Dalhousie,Adventure,10,10,40061
Northeast,Ziro Valley,Desert,15,5,4072
East,Bodh Gaya,Hidden Gem,12,10,10548
Central,Sanchi,Historical,8,11,38740
East,Guwahati,Hidden Gem,8,7,19971
West,Rann of Kutch,Historical,10,4,12213
West,Somnath,Beach,5,2,11355
North,Kullu,Religious,12,12,51160
Central,Bhopal,Urban/City,8,4,51934
West,Rann of Kutch,Beach,2,3,29609
West,Ahmedabad,Beach,2,5,41443
Northeast,Kaziranga,Adventure,2,10,56507
West,Mount Abu,Beach,6,6,18574
South,Mysore,Historical,2,12,19925
Central,Sanchi,Adventure,11,9,30158
Central,Bhopal,Wildlife,15,1,39421
South,Ooty,Hill Station,2,3,25743
South,Hampi,Desert,10,5,24196
Northeast,Aizawl,Hill Station,9,4,56615
Central,Pachmarhi,Religious,7,4,4799
Central,Bandhavgarh,Desert,7,12,7452
Northeast,Cherrapunji,Historical,14,12,23584
South,Ooty,Adventure,9,12,37318
South,Mysore,Desert,5,10,22931
North,Manali,Beach,10,8,37310
Central,Sanchi,Urban/City,11,11,52304
Central,Bhopal,Beach,5,1,48970
Central,Kanha National Park,Urban/City,15,10,36591
North,Jaipur,Wildlife,6,3,11928
West,Dwarka,Hill Station,12,11,38067
South,Kochi,Historical,15,3,17367
North,Varanasi,Trekking,14,7,33821
South,Mysore,Hill Station,5,11,14155
North,Leh,Adventure,9,9,55735
Central,Khajuraho,Trekking,6,1,54113
Northeast,Majuli,Religious,14,2,42457
East,Gangtok,Hidden Gem,12,1,23272
South,Munnar,Desert,8,8,40880
Northeast,Cherrapunji,Beach,13,8,3338
West,Somnath,Hill Station,12,9,29350
West,Dwarka,Historical,7,4,10201
East,Guwahati,Beach,9,2,4908
Northeast,Majuli,Trekking,13,5,49270
South,Coorg,Desert,4,8,31958
Central,Gwalior,Desert,6,3,14771
West,Somnath,Historical,15,4,48752
Northeast,Imphal,Desert,4,9,25266
North,Shimla,Urban/City,12,8,52747
South,Alleppey,Beach,7,9,42371
South,Ooty,Religious,12,3,44609
Northeast,Ziro Valley,Historical,2,12,25217
South,Kochi,Trekking,14,1,4427
Central,Bandhavgarh,Historical,8,6,14731
North,Shimla,Adventure,12,5,56311
East,Bodh Gaya,Trekking,9,8,17316
East,Guwahati,Hill Station,12,8,45009
West,Ahmedabad,Hill Station,14,2,8222
North,Leh,Trekking,14,3,6062
East,Gangtok,Hill Station,14,5,8923
North,Jaipur,Adventure,10,9,43713
Northeast,Shillong Peak,Adventure,5,9,15026
West,Dwarka,Wildlife,15,12,50011
West,Udaipur,Historical,3,5,57099
Central,Indore,Adventure,12,8,41142
South,Hampi,Hill Station,13,9,29849
North,Nainital,Beach,9,9,40717
North,Leh,Urban/City,10,7,15811
Central,Bhopal,Beach,2,2,49817
South,Pondicherry,Beach,12,6,58844
South,Munnar,Trekking,9,3,21497
North,Shimla,Adventure,4,12,40187
West,Dwarka,Religious,15,11,32450
Northeast,Ziro Valley,Hidden Gem,6,11,51554
